ticket,version,engine_version,symbol,order_type,open_time,close_time,hold_minutes,session_at_entry,day_of_week,hour_of_day_utc,open_price,close_price,stop_loss,take_profit,volume,sl_distance_raw,tp_distance_raw,planned_rr,realized_rr,strategy,signal_status_at_entry,signal_reason,ml_confidence_pct,ml_confidence,ml_confidence_from_signal,ml_class_probs,rsi_at_entry,atr_at_entry,h1_trend,h4_trend,trend_alignment,detected_regime,volatility_regime,volatility_bucket,rsi_14,atr_14,macd,bb_position,news_nearby,news_event_name,news_impact,exit_reason,max_favorable_pips,max_adverse_pips,risk_reward_planned,risk_reward_actual,profit,swap,commission,net_pnl,was_profitable,was_big_loss,was_big_win,shadow_predicted_direction,shadow_agreed_with_trade,shadow_sim_status,shadow_sim_pnl,comment,data_group,_source,is_closed
55782969792,v1,,XAUUSD,SELL,2026-03-18 01:47:03.152305,2026-03-18 05:03:48,196.74746158333335,Asian,Wednesday,1,4996.9,5005.06,5005.06316,4983.29473,0.01,8.163160000000062,13.605270000000019,1.6666670750052572,,macd_crossover,EXECUTED,,,,,,50.0,6.80263,NOT_AVAILABLE,DOWN,WITH_H4,TRENDING_BEAR,NORMAL,LOW,42.40814082548084,0.0014618600180226,,0.0684930863400609,0.0,,,SL_HIT,,,1.67,-1.0,-8.14,0.0,0.0,-8.14,False,False,False,,False,,,MACD crossover SELL | MACD=-1.65690 Signal=-1.43242,OLD,csv,1
55783080585,v1,,XAUUSD,BUY,2026-03-18 02:02:03.327397,2026-03-18 06:52:10,290.11121005,Asian,Wednesday,2,5001.74,4994.17,4994.17109,5017.7836,0.01,7.56890999999996,16.04359999999997,2.119671128339491,,sma_crossover,EXECUTED,,,,,,47.78,5.90313,NOT_AVAILABLE,DOWN,AGAINST_H4,TRENDING_BEAR,NORMAL,LOW,46.8389610874311,0.0014783344625506,,0.3430938434080827,0.0,,,SL_HIT,,,2.12,-1.0,-7.57,0.0,0.0,-7.57,False,False,False,,False,,,"SMA40 crossed above SMA50, RSI=47.8",OLD,csv,1
55783080632,v1,,XAUUSD,BUY,2026-03-18 02:02:03.978007,2026-03-18 06:10:02,247.96703321666666,Asian,Wednesday,2,5001.73,5015.45,4993.21074,5015.44877,0.01,8.519259999999122,13.718770000000404,1.610324136134103,,macd_crossover,EXECUTED,,,,,,50.0,6.94938,NOT_AVAILABLE,DOWN,AGAINST_H4,TRENDING_BEAR,NORMAL,LOW,46.8389610874311,0.0014783344625506,,0.3430938434080827,0.0,,,TP_HIT,,,1.61,1.61,13.72,0.0,0.0,13.72,True,False,False,,False,,,MACD crossover BUY | MACD=-1.31655 Signal=-1.37095,OLD,csv,1
55783162381,v1,,XAUUSD,SELL,2026-03-18 02:17:03.313552,2026-03-18 05:04:12,167.14477413333333,Asian,Wednesday,2,4999.47,5006.28,5006.28238,4984.54676,0.01,6.8123799999993935,14.923240000000078,2.1906059262697335,,sma_crossover,,,,,,,46.34,5.4339,NOT_AVAILABLE,DOWN,WITH_H4,TRENDING_BEAR,NORMAL,LOW,46.70360641489405,0.0014241303620598,,0.3484913328823466,0.0,,,SL_HIT,,,2.19,-1.0,-6.8100000000000005,0.0,0.0,-6.8100000000000005,False,False,False,,False,,,"SMA40 crossed below SMA50, RSI=46.3",OLD,csv,1
55783254314,v1,,XAUUSD,BUY,2026-03-18 02:32:03.204168,2026-03-18 06:10:02,217.97993053333332,Asian,Wednesday,2,5002.62,5015.32,4994.63358,5015.31736,0.01,7.98642000000018,12.697360000000117,1.5898688022918692,,macd_crossover,,,,,,,50.0,6.46368,NOT_AVAILABLE,DOWN,AGAINST_H4,TRENDING_BEAR,NORMAL,LOW,48.813125142861736,0.0014433225125358,,0.4636557421938528,0.0,,,TP_HIT,,,1.59,1.59,12.7,0.0,0.0,12.7,True,False,False,,False,,,MACD crossover BUY | MACD=-1.26895 Signal=-1.39387,OLD,csv,1
55783674032,v1,,XAUUSD,SELL,2026-03-18 03:17:03.630722,2026-03-18 05:36:12,139.13948796666668,Asian,Wednesday,3,5009.83,5000.71,5016.32594,5000.7111,0.01,6.495939999999791,9.118899999999485,1.4037845177141073,,bollinger_bounce,,,,,,,58.99,6.24594,NOT_AVAILABLE,DOWN,WITH_H4,TRENDING_BEAR,NORMAL,LOW,42.25962196749435,0.0014965454357042,,0.173260180015111,0.0,,,TP_HIT,,,1.4,1.4,9.12,0.0,0.0,9.12,True,False,False,,False,,,BB bounce SELL | BB_pos=1.06 RSI=59.0,OLD,csv,1
55783674130,v1,,NZDUSD,SELL,2026-03-18 03:17:04.765283,2026-03-18 10:42:59,445.90391195,Asian,Wednesday,3,0.58613,0.58673,0.58673,0.58513,10.0,0.0005999999999999339,0.0010000000000000009,1.6666666666668517,,sma_crossover,,,,,,,58.53,0.0004,NOT_AVAILABLE,DOWN,WITH_H4,,NORMAL,MED,43.85735725542144,0.0006639297063241,,0.1419945540879577,0.0,,,SL_HIT,,,1.67,-1.0,-600.0,0.0,0.0,-600.0,False,False,False,,False,,,"SMA20 crossed below SMA50, RSI=58.5",OLD,csv,1
55784152107,v1,,NZDUSD,BUY,2026-03-18 04:02:03.633249,2026-03-18 06:51:05,169.0227791833333,Asian,Wednesday,4,0.5864,0.58584,0.58584,0.58718,10.0,0.0005600000000000049,0.0007800000000000029,1.3928571428571357,,macd_crossover,,,,,,,50.0,0.00042,NOT_AVAILABLE,DOWN,AGAINST_H4,,NORMAL,LOW,53.774954475641245,0.0006262367440022,,0.6336807713622581,0.0,,,SL_HIT,,,1.39,-1.0,-560.0,0.0,0.0,-560.0,False,False,False,,False,,,MACD crossover BUY | MACD=0.00008 Signal=0.00005,OLD,csv,1
55784152301,v1,,NZDUSD,SELL,2026-03-18 04:02:04.252991,2026-03-18 07:57:08,235.06245015000002,Asian,Wednesday,4,0.58631,0.58571,0.58676,0.58571,10.0,0.00044999999999995044,0.0006000000000000449,1.33333333333358,,bollinger_bounce,,,,,,,59.88,0.00042,NOT_AVAILABLE,DOWN,WITH_H4,,NORMAL,LOW,53.774954475641245,0.0006262367440022,,0.6336807713622581,0.0,,,TP_HIT,,,1.33,1.33,600.0,0.0,0.0,600.0,True,False,False,,False,,,BB bounce SELL | BB_pos=1.09 RSI=59.9,OLD,csv,1
55784353675,v1,,XAUUSD,SELL,2026-03-18 04:17:03.817541,2026-03-18 06:37:33,140.48637431666666,Asian,Wednesday,4,5012.96,5002.31,5020.00674,5002.3149,0.01,7.046739999999772,10.64509999999973,1.5106418003218613,,bollinger_bounce,,,,,,,60.51,7.07674,NOT_AVAILABLE,DOWN,WITH_H4,TRENDING_BEAR,NORMAL,LOW,39.388517961845416,0.0013029145633095,,0.1446460542092405,0.0,,,TP_HIT,,,1.51,1.51,10.65,0.0,0.0,10.65,True,False,False,,False,,,BB bounce SELL | BB_pos=1.08 RSI=60.5,OLD,csv,1
