field,version,n_total,n_available,pct_available
ticket,v1,132,132,100.0
ticket,v2,46,46,100.0
ticket,v3,137,137,100.0
version,v1,132,132,100.0
version,v2,46,46,100.0
version,v3,137,137,100.0
engine_version,v1,132,32,24.2
engine_version,v2,46,46,100.0
engine_version,v3,137,137,100.0
symbol,v1,132,132,100.0
symbol,v2,46,46,100.0
symbol,v3,137,137,100.0
order_type,v1,132,132,100.0
order_type,v2,46,46,100.0
order_type,v3,137,137,100.0
open_time,v1,132,132,100.0
open_time,v2,46,46,100.0
open_time,v3,137,137,100.0
close_time,v1,132,132,100.0
close_time,v2,46,46,100.0
close_time,v3,137,136,99.3
hold_minutes,v1,132,132,100.0
hold_minutes,v2,46,46,100.0
hold_minutes,v3,137,136,99.3
session_at_entry,v1,132,132,100.0
session_at_entry,v2,46,46,100.0
session_at_entry,v3,137,137,100.0
day_of_week,v1,132,132,100.0
day_of_week,v2,46,46,100.0
day_of_week,v3,137,137,100.0
hour_of_day_utc,v1,132,132,100.0
hour_of_day_utc,v2,46,46,100.0
hour_of_day_utc,v3,137,137,100.0
open_price,v1,132,132,100.0
open_price,v2,46,46,100.0
open_price,v3,137,137,100.0
close_price,v1,132,132,100.0
close_price,v2,46,46,100.0
close_price,v3,137,136,99.3
stop_loss,v1,132,132,100.0
stop_loss,v2,46,46,100.0
stop_loss,v3,137,137,100.0
take_profit,v1,132,132,100.0
take_profit,v2,46,46,100.0
take_profit,v3,137,137,100.0
volume,v1,132,132,100.0
volume,v2,46,46,100.0
volume,v3,137,137,100.0
sl_distance_raw,v1,132,132,100.0
sl_distance_raw,v2,46,46,100.0
sl_distance_raw,v3,137,137,100.0
tp_distance_raw,v1,132,132,100.0
tp_distance_raw,v2,46,46,100.0
tp_distance_raw,v3,137,137,100.0
planned_rr,v1,132,132,100.0
planned_rr,v2,46,46,100.0
planned_rr,v3,137,137,100.0
realized_rr,v1,132,0,0.0
realized_rr,v2,46,0,0.0
realized_rr,v3,137,0,0.0
strategy,v1,132,132,100.0
strategy,v2,46,46,100.0
strategy,v3,137,137,100.0
signal_status_at_entry,v1,132,21,15.9
signal_status_at_entry,v2,46,13,28.3
signal_status_at_entry,v3,137,49,35.8
signal_reason,v1,132,9,6.8
