feature,mdi,mdi_rank,sfi_mean,sfi_std,sfi_rank,combined_rank,in_final_top20
sma_200,0.08776432234412862,1.0,0.6832621601916467,0.0,2.5,1.75,True
day_of_week,0.04786512312224586,7.0,0.6832621601916467,0.0,2.5,4.75,True
close_vs_sma_100,0.05757328135581952,4.0,0.6827413811061348,0.0010874186552349483,7.0,5.5,True
hour,0.034902818323911615,9.0,0.6832621601916467,0.0,2.5,5.75,True
sma_20_100_diff,0.05422071994851673,5.0,0.6824289136548276,0.0025342204063319444,10.0,7.5,True
dist_from_low_20,0.028044364443519106,11.0,0.6823247578377253,0.0011598300932882106,11.5,11.25,True
dow_sin,0.015841682079321604,22.0,0.6832621601916467,0.0,2.5,12.25,True
sma_100,0.04960280726642944,6.0,0.6808665763982917,0.004149272843879169,19.0,12.5,True
sma_10_50_diff,0.029932626393194856,10.0,0.6815262299066069,0.001259955373511401,15.0,12.5,True
sma_50_200_diff,0.08349411029565258,2.0,0.6780890879422282,0.0031529005542777215,24.0,13.0,True
atr_ratio_20,0.018658612533616028,17.0,0.6825330694719299,0.0007863591745933432,9.0,13.0,True
atr_28,0.08277435734466332,3.0,0.6774988716453146,0.009712960427352214,26.0,14.5,True
close_vs_sma_200,0.04286791736292166,8.0,0.6794431135645592,0.004374957615511052,23.0,15.5,True
volatility_10,0.011266256355807674,28.0,0.6830191299517412,0.00012026877808344953,5.0,16.5,True
bb_width,0.02023249190325677,15.0,0.6809707322153943,0.00279673400314498,18.0,16.5,True
volume_ratio,0.012860388736602689,26.0,0.6825677880776309,0.0003943275593375505,8.0,17.0,True
volatility_20,0.01645304088821763,20.0,0.6820470089921189,0.0011981692133970078,14.0,17.0,True
return_20,0.018179693463567143,18.0,0.6811790438495989,0.0029988917922899347,17.0,17.5,True
sma_50,0.02179548614867905,13.0,0.6796861438044649,0.005836754204745874,22.0,17.5,True
macd_hist,0.01096660491122607,30.0,0.6828108183175363,0.0005736455106016154,6.0,18.0,True
atr_7_pct,0.01358876580339081,24.0,0.6822206020206228,0.0007863591745933432,13.0,18.5,False
price_position_50,0.012498861396286217,27.0,0.6823247578377253,0.0008525521062256163,11.5,19.25,False
ema_12,0.0230942382169786,12.0,0.668298441134604,0.025917921676984493,29.0,20.5,False
atr_14_pct,0.02032759359499809,14.0,0.6773599972225116,0.008196165013938005,27.0,20.5,False
macd_hist_vs_atr,0.013083221097177411,25.0,0.6814220740895046,0.003013926940139657,16.0,20.5,False
macd_signal,0.01593244601555981,21.0,0.6805541089469846,0.0035043440977524333,21.0,21.0,False
ema_12_26_diff,0.015429469673796343,23.0,0.6807971391868902,0.002474294455799286,20.0,21.5,False
sma_20,0.018954803748272422,16.0,0.6596187897094054,0.025194730251911858,30.0,23.0,False
ema_50,0.017525726885634977,19.0,0.6721522063673923,0.017557079100294363,28.0,23.5,False
atr_28_pct,0.011057834957579626,29.0,0.677811339096622,0.00926303851440605,25.0,27.0,False
return_1,0.0,66.5,,,,,False
return_2,0.003145576790650021,45.0,,,,,False
return_3,0.00495556878864973,38.0,,,,,False
return_5,0.0,66.5,,,,,False
return_10,0.0,66.5,,,,,False
sma_10,0.008706610055868563,32.0,,,,,False
close_vs_sma_10,0.002872738035407457,48.0,,,,,False
close_vs_sma_20,0.0052336371648706885,35.0,,,,,False
close_vs_sma_50,0.005200343984036778,36.0,,,,,False
ema_26,0.0,66.5,,,,,False
rsi_7,0.0,66.5,,,,,False
rsi_14,0.0034449357267056554,44.0,,,,,False
rsi_21,0.0029677737382405333,47.0,,,,,False
macd_line,0.0068370440329160054,34.0,,,,,False
roc_5,0.0,66.5,,,,,False
roc_10,0.0,66.5,,,,,False
roc_20,0.0,66.5,,,,,False
atr_7,0.0,66.5,,,,,False
atr_14,0.00491116459848837,39.0,,,,,False
bb_position,0.0035748747397338133,43.0,,,,,False
candle_body_ratio,0.0,66.5,,,,,False
candle_direction,0.0,66.5,,,,,False
upper_shadow_ratio,0.0,66.5,,,,,False
lower_shadow_ratio,0.0,66.5,,,,,False
consecutive_direction,0.0,66.5,,,,,False
price_position_10,0.005104509561610447,37.0,,,,,False
price_position_20,0.0,66.5,,,,,False
dist_from_high_20,0.002139224366621219,50.0,,,,,False
volume_change,0.0,66.5,,,,,False
session_london,0.0,66.5,,,,,False
session_ny,0.0,66.5,,,,,False
session_asia,0.0,66.5,,,,,False
hour_sin,0.0,66.5,,,,,False
hour_cos,0.0,66.5,,,,,False
dow_cos,0.004767227053790069,40.0,,,,,False
rsi_14_lag1,0.0,66.5,,,,,False
macd_hist_lag1,0.0,66.5,,,,,False
return_1_lag1,0.0,66.5,,,,,False
rsi_14_lag2,0.0,66.5,,,,,False
macd_hist_lag2,0.0,66.5,,,,,False
return_1_lag2,0.0,66.5,,,,,False
rsi_14_lag3,0.003999023015939586,41.0,,,,,False
macd_hist_lag3,0.0023243724921253295,49.0,,,,,False
return_1_lag3,0.0,66.5,,,,,False
rsi_14_change,0.0,66.5,,,,,False
macd_hist_change,0.0031107001298217303,46.0,,,,,False
rsi_14_dist_50,0.0,66.5,,,,,False
rsi_7_dist_50,0.0,66.5,,,,,False
spread_vs_atr,0.008810840297851567,31.0,,,,,False
price_vs_high_20_atr,0.003609099379387947,42.0,,,,,False
price_vs_low_20_atr,0.00749506943631221,33.0,,,,,False
body_vs_atr,0.0,66.5,,,,,False
