version,session_at_entry,symbol,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v1,Asian,AUDUSD,2,2,0,0,100.0,34.24,100.0,373.8,186.9,186.9,,,,True
v1,Asian,NZDUSD,7,2,5,0,28.57,8.22,64.11,-1170.0,-167.14,740.0,-530.0,1.396,0.558,True
v1,Asian,XAUUSD,13,5,8,0,38.46,17.71,64.48,-94.85,-7.3,12.19,-19.47,0.626,0.391,False
v1,London,AUDUSD,4,3,1,0,75.0,30.06,95.44,1350.0,337.5,600.0,-450.0,1.333,4.0,True
v1,London,EURUSD,7,5,2,0,71.43,35.89,91.78,2840.0,405.71,740.0,-430.0,1.721,4.302,True
v1,London,GBPUSD,6,3,3,0,50.0,18.76,81.24,428.0,71.33,560.0,-417.33,1.342,1.342,True
v1,London,NZDUSD,3,3,0,0,100.0,43.85,100.0,2180.0,726.67,726.67,,,,True
v1,London,USDCAD,3,2,1,0,66.67,20.77,93.85,80.17,26.72,211.53,-342.9,0.617,1.234,True
v1,London,USDCHF,8,5,3,0,62.5,30.57,86.32,1114.16,139.27,423.75,-334.86,1.265,2.109,True
v1,London,USDJPY,6,1,5,0,16.67,3.01,56.35,-37.25,-6.21,20.21,-11.49,1.759,0.352,True
v1,London,XAUUSD,4,1,3,0,25.0,4.56,69.94,-112.78,-28.2,14.16,-42.31,0.335,0.112,True
v1,NY,AUDUSD,4,4,0,0,100.0,51.01,100.0,2906.8,726.7,726.7,,,,True
v1,NY,EURUSD,2,1,1,0,50.0,9.45,90.55,-752.0,-376.0,128.0,-880.0,0.145,0.145,True
v1,NY,GBPUSD,2,0,2,0,0.0,0.0,65.76,-1556.0,-778.0,,-778.0,,,True
v1,NY,NZDUSD,1,0,1,0,0.0,0.0,79.35,-422.0,-422.0,,-422.0,,,True
v1,NY,USDCAD,4,2,2,0,50.0,15.0,85.0,-1180.97,-295.24,31.01,-621.5,0.05,0.05,True
v1,NY,USDCHF,1,0,1,0,0.0,0.0,79.35,-762.37,-762.37,,-762.37,,,True
v1,NY,USDJPY,4,4,0,0,100.0,51.01,100.0,179.36,44.84,44.84,,,,True
v1,NY,XAUUSD,2,1,1,0,50.0,9.45,90.55,11865.48,5932.74,11915.6,-50.12,237.741,237.741,True
v1,Off-hours,NZDUSD,1,0,1,0,0.0,0.0,79.35,-654.2,-654.2,,-654.2,,,True
v1,Off-hours,USDCAD,1,0,1,0,0.0,0.0,79.35,-247.68,-247.68,,-247.68,,,True
v1,Off-hours,XAUUSD,1,0,1,0,0.0,0.0,79.35,-43.29,-43.29,,-43.29,,,True
v1,Overlap,AUDUSD,12,8,4,0,66.67,39.06,86.19,2522.0,210.17,749.0,-867.5,0.863,1.727,False
v1,Overlap,EURUSD,2,1,1,0,50.0,9.45,90.55,540.0,270.0,1580.0,-1040.0,1.519,1.519,True
v1,Overlap,GBPUSD,6,4,2,0,66.67,30.0,90.32,3336.0,556.0,1229.0,-790.0,1.556,3.111,True
v1,Overlap,NZDUSD,5,0,5,0,0.0,0.0,43.45,-3270.0,-654.0,,-654.0,,,True
v1,Overlap,USDCAD,5,2,3,0,40.0,11.76,76.93,-591.8,-118.36,433.7,-486.4,0.892,0.594,True
v1,Overlap,USDCHF,3,2,1,0,66.67,20.77,93.85,666.1,222.03,716.82,-767.54,0.934,1.868,True
v1,Overlap,USDJPY,7,5,2,0,71.43,35.89,91.78,-816.94,-116.71,30.2,-483.96,0.062,0.156,True
v1,Overlap,XAUUSD,6,1,5,0,16.67,3.01,56.35,-32.12,-5.35,24.01,-11.23,2.139,0.428,True
v2,Asian,AUDUSD,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,Asian,USDJPY,1,0,1,0,0.0,0.0,79.35,-125.23,-125.23,,-125.23,,,True
v2,London,AUDUSD,5,5,0,0,100.0,56.55,100.0,747.0,149.4,149.4,,,,True
v2,London,EURUSD,4,4,0,0,100.0,51.01,100.0,120.0,30.0,30.0,,,,True
v2,London,USDCAD,1,1,0,0,100.0,20.65,100.0,28.71,28.71,28.71,,,,True
v2,London,USDCHF,1,1,0,0,100.0,20.65,100.0,25.08,25.08,25.08,,,,True
v2,London,USDJPY,1,1,0,0,100.0,20.65,100.0,59.56,59.56,59.56,,,,True
v2,London,XAUUSD,6,4,2,0,66.67,30.0,90.32,-5724.0,-954.0,1159.5,-5181.0,0.224,0.448,True
v2,NY,EURUSD,2,1,1,0,50.0,9.45,90.55,-984.0,-492.0,20.0,-1004.0,0.02,0.02,True
v2,NY,GBPUSD,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,NY,USDCHF,2,2,0,0,100.0,34.24,100.0,50.08,25.04,25.04,,,,True
v2,NY,XAUUSD,6,2,4,0,33.33,9.68,70.0,-12741.6,-2123.6,39.0,-3204.9,0.012,0.006,True
v2,Off-hours,USDCAD,1,1,0,0,100.0,20.65,100.0,14.09,14.09,14.09,,,,True
v2,Off-hours,XAUUSD,3,2,1,0,66.67,20.77,93.85,-2289.2,-763.07,937.9,-4165.0,0.225,0.45,True
v2,Overlap,AUDUSD,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,Overlap,EURUSD,3,3,0,0,100.0,43.85,100.0,455.0,151.67,151.67,,,,True
v2,Overlap,USDCAD,1,1,0,0,100.0,20.65,100.0,226.92,226.92,226.92,,,,True
v2,Overlap,USDCHF,1,1,0,0,100.0,20.65,100.0,109.08,109.08,109.08,,,,True
v2,Overlap,USDJPY,1,0,1,0,0.0,0.0,79.35,-131.53,-131.53,,-131.53,,,True
v2,Overlap,XAUUSD,4,2,2,0,50.0,15.0,85.0,-6372.0,-1593.0,325.0,-3511.0,0.093,0.093,True
v3,Asian,AUDUSD,4,3,1,0,75.0,30.06,95.44,13.0,3.25,74.0,-209.0,0.354,1.062,True
v3,Asian,EURUSD,1,0,1,0,0.0,0.0,79.35,-296.0,-296.0,,-296.0,,,True
v3,Asian,GBPUSD,1,0,1,0,0.0,0.0,79.35,-211.0,-211.0,,-211.0,,,True
v3,Asian,USDCAD,2,2,0,0,100.0,34.24,100.0,23.21,11.61,11.61,,,,True
v3,Asian,USDCHF,2,2,0,0,100.0,34.24,100.0,50.85,25.43,25.43,,,,True
v3,Asian,USDJPY,1,1,0,0,100.0,20.65,100.0,12.54,12.54,12.54,,,,True
v3,Asian,XAUUSD,22,19,3,0,86.36,66.67,95.25,7786.0,353.91,1030.16,-3929.0,0.262,1.661,False
v3,London,AUDUSD,5,5,0,0,100.0,56.55,100.0,101.0,20.2,20.2,,,,True
v3,London,GBPUSD,2,2,0,0,100.0,34.24,100.0,40.0,20.0,20.0,,,,True
v3,London,USDCHF,5,4,1,0,80.0,37.55,96.38,-252.05,-50.41,25.38,-353.58,0.072,0.287,True
