version,symbol,trend_alignment,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v1,AUDUSD,AGAINST_H4,7,6,1,0,85.71,48.69,97.43,3432.0,490.29,647.0,-450.0,1.438,8.627,True
v1,AUDUSD,UNKNOWN,10,7,3,0,70.0,39.68,89.22,2596.0,259.6,730.86,-840.0,0.87,2.03,False
v1,AUDUSD,WITH_H4,5,4,1,0,80.0,37.55,96.38,1124.6,224.92,518.65,-950.0,0.546,2.184,True
v1,EURUSD,AGAINST_H4,6,4,2,0,66.67,30.0,90.32,1318.0,219.67,702.0,-745.0,0.942,1.885,True
v1,EURUSD,UNKNOWN,1,1,0,0,100.0,20.65,100.0,1580.0,1580.0,1580.0,,,,True
v1,EURUSD,WITH_H4,4,2,2,0,50.0,15.0,85.0,-270.0,-67.5,510.0,-645.0,0.791,0.791,True
v1,GBPUSD,AGAINST_H4,3,2,1,0,66.67,20.77,93.85,1870.0,623.33,1355.0,-840.0,1.613,3.226,True
v1,GBPUSD,UNKNOWN,1,1,0,0,100.0,20.65,100.0,1610.0,1610.0,1610.0,,,,True
v1,GBPUSD,WITH_H4,10,4,6,0,40.0,16.82,68.73,-1272.0,-127.2,569.0,-591.33,0.962,0.641,False
v1,NZDUSD,AGAINST_H4,6,3,3,0,50.0,18.76,81.24,650.0,108.33,840.0,-623.33,1.348,1.348,True
v1,NZDUSD,UNKNOWN,3,0,3,0,0.0,0.0,56.15,-1960.0,-653.33,,-653.33,,,True
v1,NZDUSD,WITH_H4,8,2,6,0,25.0,7.15,59.07,-2026.2,-253.28,570.0,-527.7,1.08,0.36,True
v1,USDCAD,AGAINST_H4,3,2,1,0,66.67,20.77,93.85,79.9,26.63,211.4,-342.9,0.617,1.233,True
v1,USDCAD,UNKNOWN,3,1,2,0,33.33,6.15,79.23,-693.9,-231.3,838.55,-766.23,1.094,0.547,True
v1,USDCAD,WITH_H4,7,3,4,0,42.86,15.82,74.95,-1326.28,-189.47,30.38,-354.36,0.086,0.064,True
v1,USDCHF,AGAINST_H4,6,3,3,0,50.0,18.76,81.24,316.73,52.79,440.44,-334.86,1.315,1.315,True
v1,USDCHF,UNKNOWN,3,1,2,0,33.33,6.15,79.23,-146.45,-48.82,1383.46,-764.95,1.809,0.904,True
v1,USDCHF,WITH_H4,3,3,0,0,100.0,43.85,100.0,847.61,282.54,282.54,,,,True
v1,USDJPY,AGAINST_H4,2,2,0,0,100.0,34.24,100.0,40.54,20.27,20.27,,,,True
v1,USDJPY,UNKNOWN,6,5,1,0,83.33,43.65,96.99,-435.87,-72.64,29.44,-583.09,0.05,0.252,True
v1,USDJPY,WITH_H4,9,3,6,0,33.33,12.06,64.58,-279.5,-31.06,54.26,-73.71,0.736,0.368,True
v1,XAUUSD,AGAINST_H4,10,2,8,0,20.0,5.67,50.98,-148.03,-14.8,13.21,-21.81,0.606,0.151,False
v1,XAUUSD,UNKNOWN,2,2,0,0,100.0,34.24,100.0,11939.61,5969.81,5969.81,,,,True
v1,XAUUSD,WITH_H4,14,4,10,0,28.57,11.72,54.65,-209.14,-14.94,12.17,-25.78,0.472,0.189,False
v2,AUDUSD,AGAINST_H4,6,6,0,0,100.0,60.97,100.0,767.0,127.83,127.83,,,,True
v2,AUDUSD,UNKNOWN,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,EURUSD,AGAINST_H4,3,3,0,0,100.0,43.85,100.0,203.0,67.67,67.67,,,,True
v2,EURUSD,UNKNOWN,1,0,1,0,0.0,0.0,79.35,-1004.0,-1004.0,,-1004.0,,,True
v2,EURUSD,WITH_H4,5,5,0,0,100.0,56.55,100.0,392.0,78.4,78.4,,,,True
v2,GBPUSD,AGAINST_H4,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,USDCAD,AGAINST_H4,3,3,0,0,100.0,43.85,100.0,269.72,89.91,89.91,,,,True
v2,USDCHF,AGAINST_H4,2,2,0,0,100.0,34.24,100.0,134.14,67.07,67.07,,,,True
v2,USDCHF,WITH_H4,2,2,0,0,100.0,34.24,100.0,50.1,25.05,25.05,,,,True
v2,USDJPY,AGAINST_H4,1,0,1,0,0.0,0.0,79.35,-131.53,-131.53,,-131.53,,,True
v2,USDJPY,WITH_H4,2,1,1,0,50.0,9.45,90.55,-65.67,-32.84,59.56,-125.23,0.476,0.476,True
v2,XAUUSD,UNKNOWN,1,1,0,0,100.0,20.65,100.0,1873.8,1873.8,1873.8,,,,True
v2,XAUUSD,WITH_H4,18,9,9,0,50.0,29.03,70.97,-29000.6,-1611.14,596.44,-3818.73,0.156,0.156,False
v3,AUDUSD,AGAINST_H4,5,4,1,0,80.0,37.55,96.38,-22.4,-4.48,60.75,-265.4,0.229,0.916,True
v3,AUDUSD,UNKNOWN,2,2,0,0,100.0,34.24,100.0,40.0,20.0,20.0,,,,True
v3,AUDUSD,WITH_H4,5,4,1,0,80.0,37.55,96.38,-129.0,-25.8,20.0,-209.0,0.096,0.383,True
v3,EURUSD,AGAINST_H4,1,1,0,0,100.0,20.65,100.0,65.0,65.0,65.0,,,,True
v3,EURUSD,UNKNOWN,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v3,EURUSD,WITH_H4,5,2,3,0,40.0,11.76,76.93,-788.4,-157.68,154.0,-365.47,0.421,0.281,True
v3,GBPUSD,AGAINST_H4,6,4,2,0,66.67,30.0,90.32,-307.2,-51.2,29.95,-213.5,0.14,0.281,True
v3,GBPUSD,WITH_H4,5,1,4,0,20.0,3.62,62.45,-987.4,-197.48,20.0,-251.85,0.079,0.02,True
v3,USDCAD,AGAINST_H4,2,2,0,0,100.0,34.24,100.0,29.13,14.56,14.56,,,,True
v3,USDCAD,WITH_H4,7,4,3,0,57.14,25.05,84.18,-376.04,-53.72,18.26,-149.69,0.122,0.163,True
v3,USDCHF,AGAINST_H4,8,8,0,0,100.0,67.56,100.0,203.75,25.47,25.47,,,,True
v3,USDCHF,WITH_H4,2,1,1,0,50.0,9.45,90.55,-328.08,-164.04,25.5,-353.58,0.072,0.072,True
v3,USDJPY,AGAINST_H4,6,3,3,0,50.0,18.76,81.24,-211.09,-35.18,93.3,-163.66,0.57,0.57,True
v3,USDJPY,UNKNOWN,1,1,0,0,100.0,20.65,100.0,85.51,85.51,85.51,,,,True
v3,USDJPY,WITH_H4,3,3,0,0,100.0,43.85,100.0,37.63,12.54,12.54,,,,True
v3,XAUUSD,AGAINST_H4,25,21,4,0,84.0,65.35,93.6,18496.8,739.87,1430.73,-2887.15,0.496,2.602,False
v3,XAUUSD,UNKNOWN,6,5,1,0,83.33,43.65,96.99,6226.2,1037.7,1875.76,-3152.6,0.595,2.975,True
v3,XAUUSD,WITH_H4,46,32,14,0,69.57,55.19,80.92,-3613.2,-78.55,998.24,-2539.79,0.393,0.898,False
