version,strategy,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v1,bollinger_bounce,44,18,26,0,40.91,27.69,55.59,-3126.94,-71.07,540.71,-494.61,1.093,0.757,False
v1,macd_crossover,39,27,12,0,69.23,53.58,81.43,16329.35,418.7,806.58,-454.03,1.776,3.997,False
v1,ml_direct,5,4,1,0,80.0,37.55,96.38,370.85,74.17,205.21,-450.0,0.456,1.824,True
v1,ml_filtered_sma,3,0,3,0,0.0,0.0,56.15,-104.12,-34.71,,-34.71,,,True
v1,rsi_reversal,24,12,12,0,50.0,31.43,68.57,4549.18,189.55,548.92,-169.82,3.232,3.232,False
v1,sma_crossover,17,6,11,0,35.29,17.31,58.7,619.3,36.43,848.05,-406.27,2.087,1.139,False
v2,bollinger_bounce,4,3,1,0,75.0,30.06,95.44,-879.36,-219.84,41.55,-1004.0,0.041,0.124,True
v2,ml_direct,32,24,8,0,75.0,57.89,86.75,-21993.09,-687.28,370.35,-3860.2,0.096,0.288,False
v2,ml_filtered_sma,9,6,3,0,66.67,35.42,87.94,-3619.59,-402.18,20.7,-1247.92,0.017,0.033,True
v2,stop_hunt_reversal,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v3,asia_breakout,6,5,1,0,83.33,43.65,96.99,-24.33,-4.06,22.14,-135.05,0.164,0.82,True
v3,bollinger_bounce,25,17,8,0,68.0,48.41,82.79,-3005.56,-120.22,61.15,-505.64,0.121,0.257,False
v3,ml_direct,76,58,18,0,76.32,65.64,84.46,23388.8,307.75,1227.72,-2656.62,0.462,1.489,False
v3,ml_filtered_sma,22,15,7,0,68.18,47.32,83.64,-1338.11,-60.82,26.29,-247.49,0.106,0.228,False
v3,rsi_reversal,2,2,0,0,100.0,34.24,100.0,205.64,102.82,102.82,,,,True
v3,sma_crossover,2,0,2,0,0.0,0.0,65.76,-627.23,-313.62,,-313.62,,,True
v3,stop_hunt_reversal,3,2,1,0,66.67,20.77,93.85,-158.0,-52.67,20.0,-198.0,0.101,0.202,True
