version,symbol,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v1,AUDUSD,22,17,5,0,77.27,56.56,89.88,7152.6,325.12,651.33,-784.0,0.831,2.825,False
v1,EURUSD,11,7,4,0,63.64,35.38,84.83,2628.0,238.91,772.57,-695.0,1.112,1.945,False
v1,GBPUSD,14,7,7,0,50.0,26.8,73.2,2208.0,157.71,942.29,-626.86,1.503,1.503,False
v1,NZDUSD,17,5,12,0,29.41,13.28,53.13,-3336.2,-196.25,732.0,-583.02,1.256,0.523,False
v1,USDCAD,13,6,7,0,46.15,23.21,70.86,-1940.28,-149.25,225.41,-470.4,0.479,0.411,False
v1,USDCHF,12,7,5,0,58.33,31.95,80.67,1017.89,84.82,507.48,-506.9,1.001,1.402,False
v1,USDJPY,17,10,7,0,58.82,36.01,78.39,-674.83,-39.7,35.05,-146.48,0.239,0.342,False
v1,XAUUSD,26,8,18,0,30.77,16.5,49.99,11582.44,445.48,1501.84,-24.02,62.538,27.794,False
v2,AUDUSD,7,7,0,0,100.0,64.57,100.0,787.0,112.43,112.43,,,,True
v2,EURUSD,9,8,1,0,88.89,56.5,98.01,-409.0,-45.44,74.38,-1004.0,0.074,0.593,True
v2,GBPUSD,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,USDCAD,3,3,0,0,100.0,43.85,100.0,269.72,89.91,89.91,,,,True
v2,USDCHF,4,4,0,0,100.0,51.01,100.0,184.24,46.06,46.06,,,,True
v2,USDJPY,3,1,2,0,33.33,6.15,79.23,-197.2,-65.73,59.56,-128.38,0.464,0.232,True
v2,XAUUSD,19,10,9,0,52.63,31.71,72.67,-27126.8,-1427.73,724.18,-3818.73,0.19,0.211,False
v3,AUDUSD,12,10,2,0,83.33,55.2,95.3,-111.4,-9.28,36.3,-237.2,0.153,0.765,False
v3,EURUSD,7,4,3,0,57.14,25.05,84.18,-703.4,-100.49,98.25,-365.47,0.269,0.358,True
v3,GBPUSD,11,5,6,0,45.45,21.27,71.99,-1294.6,-117.69,27.96,-239.07,0.117,0.097,False
v3,USDCAD,9,6,3,0,66.67,35.42,87.94,-346.91,-38.55,17.03,-149.69,0.114,0.227,True
v3,USDCHF,10,9,1,0,90.0,59.58,98.21,-124.33,-12.43,25.47,-353.58,0.072,0.648,False
v3,USDJPY,10,7,3,0,70.0,39.68,89.22,-87.95,-8.8,57.58,-163.66,0.352,0.821,False
v3,XAUUSD,77,58,19,0,75.32,64.65,83.6,21109.8,274.15,1230.48,-2645.17,0.465,1.42,False
