version,symbol,order_type,trades,wins,losses,flats,wr_pct,wr_ci_low_pct,wr_ci_high_pct,total_pnl,avg_pnl,avg_win,avg_loss,rr_ratio,profit_factor,underpowered
v1,AUDUSD,BUY,17,12,5,0,70.59,46.87,86.72,3005.8,176.81,577.15,-784.0,0.736,1.767,False
v1,AUDUSD,SELL,5,5,0,0,100.0,56.55,100.0,4146.8,829.36,829.36,,,,True
v1,EURUSD,BUY,7,5,2,0,71.43,35.89,91.78,2898.0,414.0,877.6,-745.0,1.178,2.945,True
v1,EURUSD,SELL,4,2,2,0,50.0,15.0,85.0,-270.0,-67.5,510.0,-645.0,0.791,0.791,True
v1,GBPUSD,BUY,4,3,1,0,75.0,30.06,95.44,3480.0,870.0,1440.0,-840.0,1.714,5.143,True
v1,GBPUSD,SELL,10,4,6,0,40.0,16.82,68.73,-1272.0,-127.2,569.0,-591.33,0.962,0.641,False
v1,NZDUSD,BUY,9,3,6,0,33.33,12.06,64.58,-1310.0,-145.56,840.0,-638.33,1.316,0.658,True
v1,NZDUSD,SELL,8,2,6,0,25.0,7.15,59.07,-2026.2,-253.28,570.0,-527.7,1.08,0.36,True
v1,USDCAD,BUY,6,4,2,0,66.67,30.0,90.32,-180.18,-30.03,232.42,-554.93,0.419,0.838,True
v1,USDCAD,SELL,7,2,5,0,28.57,8.22,64.11,-1760.1,-251.44,211.4,-436.58,0.484,0.194,True
v1,USDCHF,BUY,6,4,2,0,66.67,30.0,90.32,701.16,116.86,557.77,-764.95,0.729,1.458,True
v1,USDCHF,SELL,6,3,3,0,50.0,18.76,81.24,316.73,52.79,440.44,-334.86,1.315,1.315,True
v1,USDJPY,BUY,11,4,7,0,36.36,15.17,64.62,-794.3,-72.21,57.77,-146.48,0.394,0.225,False
v1,USDJPY,SELL,6,6,0,0,100.0,60.97,100.0,119.47,19.91,19.91,,,,True
v1,XAUUSD,BUY,15,3,12,0,20.0,7.05,45.19,-265.05,-17.67,16.81,-26.29,0.639,0.16,False
v1,XAUUSD,SELL,11,5,6,0,45.45,21.27,71.99,11847.49,1077.04,2392.86,-19.46,122.931,102.443,False
v2,AUDUSD,BUY,7,7,0,0,100.0,64.57,100.0,787.0,112.43,112.43,,,,True
v2,EURUSD,BUY,3,3,0,0,100.0,43.85,100.0,203.0,67.67,67.67,,,,True
v2,EURUSD,SELL,6,5,1,0,83.33,43.65,96.99,-612.0,-102.0,78.4,-1004.0,0.078,0.39,True
v2,GBPUSD,BUY,1,1,0,0,100.0,20.65,100.0,20.0,20.0,20.0,,,,True
v2,USDCAD,SELL,3,3,0,0,100.0,43.85,100.0,269.72,89.91,89.91,,,,True
v2,USDCHF,BUY,2,2,0,0,100.0,34.24,100.0,50.1,25.05,25.05,,,,True
v2,USDCHF,SELL,2,2,0,0,100.0,34.24,100.0,134.14,67.07,67.07,,,,True
v2,USDJPY,BUY,2,1,1,0,50.0,9.45,90.55,-65.67,-32.84,59.56,-125.23,0.476,0.476,True
v2,USDJPY,SELL,1,0,1,0,0.0,0.0,79.35,-131.53,-131.53,,-131.53,,,True
v2,XAUUSD,SELL,19,10,9,0,52.63,31.71,72.67,-27126.8,-1427.73,724.18,-3818.73,0.19,0.211,False
v3,AUDUSD,BUY,8,7,1,0,87.5,52.91,97.76,93.0,11.62,43.14,-209.0,0.206,1.445,True
v3,AUDUSD,SELL,4,3,1,0,75.0,30.06,95.44,-204.4,-51.1,20.33,-265.4,0.077,0.23,True
v3,EURUSD,BUY,6,3,3,0,50.0,18.76,81.24,-768.4,-128.07,109.33,-365.47,0.299,0.299,True
v3,EURUSD,SELL,1,1,0,0,100.0,20.65,100.0,65.0,65.0,65.0,,,,True
v3,GBPUSD,BUY,1,0,1,0,0.0,0.0,79.35,-211.0,-211.0,,-211.0,,,True
v3,GBPUSD,SELL,10,5,5,0,50.0,23.66,76.34,-1083.6,-108.36,27.96,-244.68,0.114,0.114,False
v3,USDCAD,BUY,6,4,2,0,66.67,30.0,90.32,-213.72,-35.62,19.74,-146.33,0.135,0.27,True
v3,USDCAD,SELL,3,2,1,0,66.67,20.77,93.85,-133.19,-44.4,11.61,-156.4,0.074,0.148,True
v3,USDCHF,BUY,6,5,1,0,83.33,43.65,96.99,-225.91,-37.65,25.53,-353.58,0.072,0.361,True
v3,USDCHF,SELL,4,4,0,0,100.0,51.01,100.0,101.58,25.39,25.39,,,,True
v3,USDJPY,BUY,3,3,0,0,100.0,43.85,100.0,110.6,36.87,36.87,,,,True
v3,USDJPY,SELL,7,4,3,0,57.14,25.05,84.18,-198.55,-28.36,73.11,-163.66,0.447,0.596,True
v3,XAUUSD,BUY,1,0,1,0,0.0,0.0,79.35,-2439.0,-2439.0,,-2439.0,,,True
v3,XAUUSD,SELL,76,58,18,0,76.32,65.64,84.46,23548.8,309.85,1230.48,-2656.62,0.463,1.492,False
