id,ticket,symbol,order_type,volume,open_price,close_price,open_time,close_time,profit,swap,commission,stop_loss,take_profit,strategy,is_closed,comment,engine_version,strategy_version,data_group
133,56010819807,AUDUSD,BUY,2.0,0.68509,0.68618,2026-03-31 09:05:05.370950,2026-03-31 14:11:53.000000,222.0,0.0,0.0,0.68192,0.68752,ml_direct,1,ML Direct BUY | conf=57.1% [SELL=27.1% NO=15.8% BUY=57.1%],2.2,1.0,TRANSITION
134,56012653239,USDCAD,SELL,2.0,1.39359,1.39341,2026-03-31 11:05:04.907197,2026-03-31 18:15:26.000000,28.71,0.0,0.0,1.39553,1.39241,ml_direct,1,ML Direct SELL | conf=55.0% [SELL=55.0% NO=26.6% BUY=18.3%],2.2,1.0,TRANSITION
135,56013622722,AUDUSD,BUY,2.0,0.6864,0.68786,2026-03-31 12:05:05.327551,2026-03-31 17:39:41.000000,292.0,0.0,0.0,0.68207,0.68786,ml_direct,1,ML Direct BUY | conf=62.5% [SELL=22.8% NO=14.8% BUY=62.5%],2.2,1.0,TRANSITION
136,56018712903,USDCAD,SELL,2.0,1.39416,1.39258,2026-03-31 16:05:04.868451,2026-03-31 19:30:26.000000,226.92,0.0,0.0,1.39554,1.39258,ml_direct,1,ML Direct SELL | conf=57.9% [SELL=57.9% NO=17.2% BUY=24.9%],2.2,1.0,TRANSITION
137,56022507339,EURUSD,SELL,2.0,1.15203,1.15701,2026-03-31 18:05:07.815690,2026-04-01 05:51:00.000000,-1004.0,0.0,0.0,1.15701,1.14437,bollinger_bounce,1,BB bounce SELL | BB_pos=0.92 RSI=64.2 BBW=0.0085 BBW_avg_ratio=1.64,2.2,2.0,TRANSITION
138,56034575428,AUDUSD,BUY,2.0,0.69056,0.69076,2026-04-01 08:05:04.343329,2026-04-01 11:11:34.000000,40.0,0.0,0.0,0.68642,0.69268,ml_direct,1,ML Direct BUY | conf=57.8% [SELL=27.9% NO=14.3% BUY=57.8%],2.3,1.0,TRANSITION
139,56036892295,EURUSD,SELL,2.0,1.15865,1.15845,2026-04-01 10:05:03.904610,2026-04-01 13:56:10.000000,40.0,0.0,0.0,1.16365,1.15092,ml_direct,1,ML Direct SELL | conf=57.0% [SELL=57.0% NO=4.9% BUY=38.1%],2.3,1.0,TRANSITION
140,56036892590,XAUUSD,SELL,2.0,4722.22,4752.52,2026-04-01 10:05:04.909195,2026-04-01 17:39:06.000000,-6060.0,0.0,0.0,4752.51786,4657.77415,ml_direct,1,ML Direct SELL | conf=57.5% [SELL=57.5% NO=8.0% BUY=34.5%],2.3,1.0,TRANSITION
141,56038413784,EURUSD,SELL,2.0,1.15886,1.15865,2026-04-01 11:05:04.825009,2026-04-01 15:40:13.000000,40.0,0.0,0.0,1.1639,1.15103,ml_direct,1,ML Direct SELL | conf=56.0% [SELL=56.0% NO=5.3% BUY=38.7%],2.3,1.0,TRANSITION
142,56044826448,EURUSD,SELL,2.0,1.16008,1.15883,2026-04-01 16:05:09.302281,2026-04-02 02:06:55.000000,252.0,0.0,0.0,1.16538,1.15191,ml_direct,1,ML Direct SELL | conf=56.7% [SELL=56.7% NO=8.1% BUY=35.1%],2.3,1.0,TRANSITION
143,56048372718,XAUUSD,SELL,2.0,4766.6,4789.14,2026-04-01 18:05:09.802101,2026-04-01 22:01:03.000000,-4522.0,0.0,0.0,4789.1373,4690.90648,ml_direct,1,ML Direct SELL | conf=58.8% [SELL=58.8% NO=7.4% BUY=33.8%],2.3,1.0,TRANSITION
144,56059646517,AUDUSD,BUY,1.0,0.68789,0.68809,2026-04-02 08:05:03.736193,2026-04-02 14:03:11.000000,20.0,0.0,0.0,0.68332,0.69017,ml_direct,1,ML Direct BUY | conf=55.9% [SELL=32.0% NO=12.1% BUY=55.9%],2.3,1.0,TRANSITION
145,56062056933,XAUUSD,SELL,1.0,4603.48,4598.56,2026-04-02 10:05:04.286754,2026-04-02 19:29:19.000000,492.0,0.0,0.0,4653.0785,4522.23675,ml_direct,1,ML Direct SELL | conf=58.1% [SELL=58.1% NO=7.6% BUY=34.3%],2.3,1.0,TRANSITION
146,56070504925,XAUUSD,SELL,1.0,4643.15,4696.53,2026-04-02 17:05:08.421287,2026-04-02 20:43:30.000000,-5357.0,0.0,0.0,4696.53142,4565.38,ml_direct,1,ML Direct SELL | conf=61.0% [SELL=61.0% NO=7.6% BUY=31.4%],2.4,1.0,TRANSITION
147,56077439340,XAUUSD,SELL,1.0,4671.44,4652.3,2026-04-02 22:18:33.151337,2026-04-06 04:55:02.000000,1873.8,0.0,0.0,4726.0375,4606.42125,ml_direct,1,ML Direct SELL | conf=60.3% [SELL=60.3% NO=7.4% BUY=32.3%],2.4,1.0,TRANSITION
148,56079982446,AUDUSD,BUY,1.0,0.68997,0.69018,2026-04-03 15:31:39.789589,2026-04-03 18:50:03.000000,20.0,0.0,0.0,0.68771,0.69136,ml_filtered_sma,1,"SMA20 x SMA50 BUY, RSI=45.0",2.4,1.0,TRANSITION
149,56091185200,USDJPY,BUY,1.0,159.411,159.506,2026-04-06 12:05:11.412720,2026-04-06 18:03:50.000000,59.56,0.0,0.0,159.19002,159.90397,bollinger_bounce,1,BB bounce BUY | BB_pos=0.02 RSI=38.9 BBW=0.0027 BBW_avg_ratio=1.84,2.4,2.0,TRANSITION
150,56091188585,USDCHF,BUY,1.0,0.79738,0.79758,2026-04-06 12:05:21.890020,2026-04-06 16:10:07.000000,25.08,0.0,0.0,0.7944,0.80104,bollinger_bounce,1,BB bounce BUY | BB_pos=0.01 RSI=37.0 BBW=0.0068 BBW_avg_ratio=1.31,2.4,2.0,TRANSITION
151,56092307837,EURUSD,SELL,1.0,1.15517,1.15477,2026-04-06 13:05:06.329250,2026-04-06 17:47:37.000000,40.0,0.0,0.0,1.15941,1.14947,bollinger_bounce,1,BB bounce SELL | BB_pos=0.98 RSI=64.1 BBW=0.0055 BBW_avg_ratio=1.46,2.4,2.0,TRANSITION
