label,start,end,years,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,hit_weekly_pct,hit_monthly_pct,avg_weekly_turnover,n_weeks,direction,lookback,cost_bps,role
crypto_LO_12w_c10bps,2018-02-02,2026-04-24,8.22,91.14,8.2,6.97,1.16,1.703,-10.6,0.773,36.98,41.84,0.0181,430,LO,12w,10.0,strategy
BH_BTC_crypto_LO_12w_c10bps,2018-02-02,2026-04-24,8.22,754.74,29.82,62.7,0.731,1.091,-74.23,0.402,52.68,54.08,0.0,429,,,,benchmark
crypto_LO_12w_c20bps,2018-02-02,2026-04-24,8.22,89.65,8.1,6.97,1.146,1.687,-10.8,0.75,36.74,41.84,0.0181,430,LO,12w,20.0,strategy
BH_BTC_crypto_LO_12w_c20bps,2018-02-02,2026-04-24,8.22,754.74,29.82,62.7,0.731,1.091,-74.23,0.402,52.68,54.08,0.0,429,,,,benchmark
crypto_LO_12m_c10bps,2018-08-17,2026-04-24,7.69,84.22,8.27,7.74,1.06,1.574,-8.46,0.978,47.01,46.74,0.0114,402,LO,12m,10.0,strategy
BH_BTC_crypto_LO_12m_c10bps,2018-08-17,2026-04-24,7.69,1051.81,37.44,61.19,0.826,1.241,-74.23,0.504,52.87,55.43,0.0,401,,,,benchmark
crypto_LO_12m_c20bps,2018-08-17,2026-04-24,7.69,83.38,8.21,7.74,1.052,1.566,-8.55,0.96,46.27,46.74,0.0114,402,LO,12m,20.0,strategy
BH_BTC_crypto_LO_12m_c20bps,2018-08-17,2026-04-24,7.69,1051.81,37.44,61.19,0.826,1.241,-74.23,0.504,52.87,55.43,0.0,401,,,,benchmark
crypto_LS_12w_c10bps,2018-02-02,2026-04-24,8.22,78.52,7.3,8.72,0.848,1.477,-16.36,0.446,52.56,50.0,0.0355,430,LS,12w,10.0,strategy
BH_BTC_crypto_LS_12w_c10bps,2018-02-02,2026-04-24,8.22,754.74,29.82,62.7,0.731,1.091,-74.23,0.402,52.68,54.08,0.0,429,,,,benchmark
crypto_LS_12w_c20bps,2018-02-02,2026-04-24,8.22,75.81,7.1,8.72,0.826,1.441,-16.46,0.432,52.56,50.0,0.0355,430,LS,12w,20.0,strategy
BH_BTC_crypto_LS_12w_c20bps,2018-02-02,2026-04-24,8.22,754.74,29.82,62.7,0.731,1.091,-74.23,0.402,52.68,54.08,0.0,429,,,,benchmark
crypto_LS_12m_c10bps,2018-08-17,2026-04-24,7.69,62.43,6.52,8.39,0.79,1.217,-13.14,0.496,52.49,60.87,0.0205,402,LS,12m,10.0,strategy
BH_BTC_crypto_LS_12m_c10bps,2018-08-17,2026-04-24,7.69,1051.81,37.44,61.19,0.826,1.241,-74.23,0.504,52.87,55.43,0.0,401,,,,benchmark
crypto_LS_12m_c20bps,2018-08-17,2026-04-24,7.69,61.1,6.4,8.39,0.778,1.198,-13.32,0.481,52.49,59.78,0.0205,402,LS,12m,20.0,strategy
BH_BTC_crypto_LS_12m_c20bps,2018-08-17,2026-04-24,7.69,1051.81,37.44,61.19,0.826,1.241,-74.23,0.504,52.87,55.43,0.0,401,,,,benchmark
