variant,slice,label,start,end,years,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,hit_weekly_pct,hit_monthly_pct,avg_weekly_turnover,n_weeks,fold
LO_12m_c10bps,full,LO_12m_c10bps_full,2018-08-17,2026-04-24,7.69,84.22,8.27,7.74,1.06,1.574,-8.46,0.978,47.01,46.74,0.0114,402,
LO_12m_c10bps,train,LO_12m_c10bps_train,2018-08-17,2024-12-27,6.36,84.34,10.09,7.81,1.263,1.87,-8.46,1.192,46.55,44.74,0.0099,333,
LO_12m_c10bps,oos,LO_12m_c10bps_oos,2025-01-03,2026-04-24,1.3,-0.06,-0.05,7.31,0.03,0.044,-8.46,-0.006,49.28,53.33,0.0187,69,
LO_12m_c10bps,bh_oos,BH_BTC_oos,2025-01-03,2026-04-24,1.3,-22.75,-17.97,37.55,-0.334,-0.477,-46.11,-0.39,50.0,53.33,0.0,68,
LO_12m_c10bps,bh_train,BH_BTC_train,2017-08-18,2024-12-27,7.36,2195.29,53.08,72.05,0.947,1.489,-81.62,0.65,53.39,53.41,0.0,384,
LO_12m_c10bps,fold1,LO_12m_c10bps_fold1,2018-08-17,2019-11-15,1.25,1.99,1.6,4.52,0.366,0.486,-4.27,0.373,48.48,46.67,0.0086,66,1.0
LO_12m_c10bps,fold2,LO_12m_c10bps_fold2,2019-11-22,2021-02-26,1.26,34.29,26.25,12.34,1.921,2.679,-7.8,3.364,59.7,73.33,0.0154,67,2.0
LO_12m_c10bps,fold3,LO_12m_c10bps_fold3,2021-03-05,2022-06-03,1.25,5.66,4.52,6.56,0.694,1.045,-6.41,0.705,51.52,40.0,0.0053,66,3.0
LO_12m_c10bps,fold4,LO_12m_c10bps_fold4,2022-06-10,2023-09-15,1.26,-1.82,-1.45,1.53,-0.928,-0.862,-1.96,-0.738,14.93,6.67,0.0102,67,4.0
LO_12m_c10bps,fold5,LO_12m_c10bps_fold5,2023-09-22,2024-12-27,1.26,29.75,22.86,8.71,2.367,5.484,-4.78,4.786,58.21,60.0,0.0098,67,5.0
LO_12w_c10bps,full,LO_12w_c10bps_full,2018-02-02,2026-04-24,8.22,91.14,8.2,6.97,1.16,1.703,-10.6,0.773,36.98,41.84,0.0181,430,
LO_12w_c10bps,train,LO_12w_c10bps_train,2018-02-02,2024-12-27,6.9,82.62,9.12,7.03,1.27,1.92,-10.6,0.861,38.78,42.68,0.0181,361,
LO_12w_c10bps,oos,LO_12w_c10bps_oos,2025-01-03,2026-04-24,1.3,4.66,3.56,6.6,0.553,0.708,-4.44,0.802,27.54,33.33,0.0182,69,
LO_12w_c10bps,bh_oos,BH_BTC_oos,2025-01-03,2026-04-24,1.3,-22.75,-17.97,37.55,-0.334,-0.477,-46.11,-0.39,50.0,53.33,0.0,68,
LO_12w_c10bps,bh_train,BH_BTC_train,2017-08-18,2024-12-27,7.36,2195.29,53.08,72.05,0.947,1.489,-81.62,0.65,53.39,53.41,0.0,384,
LO_12w_c10bps,fold1,LO_12w_c10bps_fold1,2018-02-02,2019-06-14,1.36,10.89,7.89,4.41,1.714,4.244,-2.5,3.154,34.72,43.75,0.0123,72,1.0
LO_12w_c10bps,fold2,LO_12w_c10bps_fold2,2019-06-21,2020-10-30,1.36,2.58,1.89,7.58,0.282,0.248,-8.27,0.229,38.89,43.75,0.0124,72,2.0
LO_12w_c10bps,fold3,LO_12w_c10bps_fold3,2020-11-06,2022-03-18,1.36,35.77,25.2,9.32,2.42,7.225,-4.72,5.344,50.0,43.75,0.0116,72,3.0
LO_12w_c10bps,fold4,LO_12w_c10bps_fold4,2022-03-25,2023-08-04,1.36,-5.06,-3.75,4.83,-0.753,-1.192,-6.17,-0.607,19.44,17.65,0.0303,72,4.0
LO_12w_c10bps,fold5,LO_12w_c10bps_fold5,2023-08-11,2024-12-27,1.38,24.55,17.24,7.16,2.222,4.969,-2.68,6.445,50.68,62.5,0.024,73,5.0
