,mdi,mdi_rank,sfi_auc,sfi_rank,consensus_rank
sma_20_100_diff,0.03311154365455002,7.0,0.511212637516601,1.0,4.0
sma_50_200_diff,0.0621501313540136,1.0,0.5059582380791791,10.0,5.5
ema_26,0.030012567293163563,11.0,0.4922508739190356,3.0,7.0
atr_14_pct,0.015599819275653855,19.0,0.5098335009431965,2.0,10.5
spread_vs_atr,0.018287055793804782,17.0,0.5077459356128394,4.0,10.5
close_vs_sma_100,0.028273290104741465,12.0,0.5056401005525822,11.0,11.5
sma_50,0.03204270125321377,9.0,0.49512982884076795,15.0,12.0
atr_7_pct,0.015083910493742804,20.0,0.49300594417699095,5.0,12.5
sma_200,0.046782649160142714,2.0,0.4960862477837258,24.0,13.0
sma_10,0.027492355549769424,13.0,0.4946854960548102,14.0,13.5
atr_28_pct,0.030951376824762476,10.0,0.5043622948710897,21.0,15.5
ema_12,0.032889510765095664,8.0,0.49651778334110436,27.0,17.5
ema_50,0.03783475886721708,3.0,0.4971363307084596,33.0,18.0
sma_10_50_diff,0.016400368343457344,18.0,0.49530659820428524,19.0,18.5
volatility_20,0.025136284407718174,14.0,0.50326787118988,28.0,21.0
roc_20,0.010411921055437565,30.0,0.4946325702712615,12.0,21.0
dist_from_low_20,0.009135543384128255,35.0,0.4937053695645927,8.0,21.5
return_20,0.010180347531679054,31.0,0.49464226393068955,13.0,22.0
rsi_14_lag1,0.009381598529258316,34.0,0.4953809694967198,20.0,27.0
macd_hist_lag1,0.009456852296555612,33.0,0.5043403044244329,22.0,27.5
rsi_14_lag3,0.0066845291428167,46.0,0.4937297382406995,9.0,27.5
macd_hist_vs_atr,0.012385286785317117,26.0,0.5029168582314139,32.0,29.0
close_vs_sma_200,0.03642921932758147,4.0,0.5014696470849257,56.0,30.0
volatility_10,0.010536281796275922,29.0,0.49703489414992635,31.0,30.0
rsi_21,0.012011107665106192,28.0,0.5027800352316166,35.0,31.5
close_vs_sma_50,0.012778910125703535,22.0,0.49805059061016427,49.0,35.5
dow_cos,0.007121715739623582,43.0,0.5030870242171187,29.0,36.0
macd_line,0.02460380840347571,15.0,0.5014401586729956,57.0,36.0
price_vs_high_20_atr,0.012547127937379806,25.0,0.5019090664989108,50.0,37.5
ema_12_26_diff,0.012115229249071626,27.0,0.4980324273455019,48.0,37.5
atr_14,0.012634371459343563,24.0,0.5016178877668973,53.0,38.5
close_vs_sma_10,0.00560695633715568,53.0,0.4960971876920614,25.0,39.0
return_1_lag3,0.002753919393677907,73.0,0.49318228157573146,6.0,39.5
close_vs_sma_20,0.005905461431576051,50.0,0.49692982839978656,30.0,40.0
sma_20,0.02306326242526998,16.0,0.4991014552397394,66.0,41.0
macd_hist_lag2,0.012658492856485017,23.0,0.5012091135381561,60.0,41.5
atr_7,0.007197285674258168,42.0,0.50232666213205,41.0,41.5
sma_100,0.03342644931554196,6.0,0.4995162136422031,78.0,42.0
upper_shadow_ratio,0.00437054911094699,62.0,0.5040696379197448,23.0,42.5
price_position_50,0.0066028408290375006,48.0,0.4972368241526423,37.0,42.5
roc_5,0.003726434847614866,69.0,0.4952457536703137,16.5,42.75
macd_signal,0.034635734641235205,5.0,0.49977330339754733,81.0,43.0
session_london,0.0003590577940460367,79.0,0.5063064326345824,7.0,43.0
atr_28,0.014545957373716977,21.0,0.500842129836188,67.0,44.0
hour_cos,0.005523293654879782,56.0,0.5028019107889601,34.0,45.0
return_5,0.0026445223082665064,74.0,0.4952457536703137,16.5,45.25
price_vs_low_20_atr,0.008987527483343916,36.0,0.498579579276569,58.0,47.0
bb_position,0.005605028407301116,54.0,0.5025109123780758,40.0,47.0
consecutive_direction,0.0014652619029899639,78.0,0.5047425065654967,18.0,48.0
candle_body_ratio,0.005358427470947602,58.0,0.5022035439249694,43.0,50.5
volume_ratio,0.004900485586684044,59.0,0.5023102773989324,42.0,50.5
macd_hist_lag3,0.008939194995873504,37.0,0.500927480090475,65.0,51.0
atr_ratio_20,0.005878025135036621,51.0,0.4981194191740834,51.0,51.0
bb_width,0.009896036919989193,32.0,0.50079624120212,70.0,51.0
day_of_week,0.004034395016406163,65.0,0.49744869129534264,38.5,51.75
price_position_10,0.0058655548894808954,52.0,0.4982218888952467,52.0,52.0
rsi_14_change,0.0046959102486861535,61.0,0.5021780650673281,45.0,53.0
dow_sin,0.0037476850863315076,68.0,0.49744869129534264,38.5,53.25
candle_direction,0.0001892048454328052,82.0,0.5038265668630121,26.0,54.0
macd_hist,0.006840672308986894,44.0,0.5009362816974671,64.0,54.0
dist_from_high_20,0.00784475550426029,39.0,0.49927496257427695,71.0,55.0
rsi_14,0.008861775338525498,38.0,0.5006652491346615,73.0,55.5
price_position_20,0.003870494357766422,67.0,0.5021929188882738,44.0,55.5
roc_10,0.006766763990796764,45.0,0.4991839560684998,68.5,56.75
rsi_14_dist_50,0.007786074076928582,40.0,0.5006650957961698,74.0,57.0
return_10,0.006662977539052786,47.0,0.4991839560684998,68.5,57.75
session_asia,0.00030071023294567375,80.0,0.5027766435485562,36.0,58.0
rsi_7,0.005544645269956693,55.0,0.49886865337777037,61.5,58.25
rsi_7_dist_50,0.005431212980516536,57.0,0.49886865337777037,61.5,59.25
return_2,0.0038936597904211264,66.0,0.49845967435683186,54.0,60.0
volume_change,0.0024186211738059103,75.0,0.49793954946126795,46.0,60.5
rsi_14_lag2,0.0076415133955344905,41.0,0.49995864587290145,82.0,61.5
return_1,0.004254318920669409,64.0,0.5013998108152994,59.0,61.5
hour_sin,0.0017141727217432794,77.0,0.498014040156908,47.0,62.0
return_3,0.0036237799747388605,70.0,0.5014896447446836,55.0,62.5
macd_hist_change,0.0062856892710197254,49.0,0.4994701377936259,77.0,63.0
lower_shadow_ratio,0.004707293033921801,60.0,0.5006597503899424,75.0,67.5
return_1_lag2,0.0027553032921079734,72.0,0.49904555618816765,63.0,67.5
body_vs_atr,0.0042618443758038254,63.0,0.49940011248425203,76.0,69.5
hour,0.0018636620080621751,76.0,0.5006939656174839,72.0,74.0
return_1_lag1,0.003377448723100161,71.0,0.5004063603010371,79.0,75.0
session_ny,0.0002474821673222827,81.0,0.5003786302836727,80.0,80.5
